tX,tY,tZ,rX,rY,rZ,rW,time(s)
0.7947969,9.042525,-2.807275,0.7071068,0,0,0.7071068,13.33336
0.795118,9.042516,-2.806802,0.7071068,0,0,0.7071068,13.36669
0.7951076,9.041895,-2.805584,0.7071068,0,0,0.7071068,13.40003
0.7951019,9.041454,-2.804395,0.7071068,0,0,0.7071068,13.43336
0.7945949,9.041455,-2.803738,0.7071068,0,0,0.7071068,13.46669
0.7943989,9.040866,-2.80272,0.7071068,0,0,0.7071068,13.50003
0.7938921,9.041042,-2.801745,0.7071068,0,0,0.7071068,13.53336
0.7933846,9.041096,-2.800737,0.7071068,0,0,0.7071068,13.56669
0.7934358,9.040527,-2.800124,0.7071068,0,0,0.7071068,13.60003
0.7933344,9.040136,-2.799374,0.7071068,0,0,0.7071068,13.63336
0.7933992,9.039947,-2.798455,0.7071068,0,0,0.7071068,13.66669
0.7931172,9.039772,-2.797042,0.7071068,0,0,0.7071068,13.70003
0.7934102,9.039804,-2.796152,0.7071068,0,0,0.7071068,13.73336
0.7930977,9.039831,-2.795063,0.7071068,0,0,0.7071068,13.76669
0.7931368,9.039745,-2.794186,0.7071068,0,0,0.7071068,13.80003
0.7928407,9.039854,-2.793342,0.7071068,0,0,0.7071068,13.83336
0.7925929,9.039286,-2.79258,0.7071068,0,0,0.7071068,13.86669
0.7926562,9.039076,-2.791233,0.7071068,0,0,0.7071068,13.90003
0.7928339,9.038434,-2.790032,0.7071068,0,0,0.7071068,13.93336
0.7924889,9.037932,-2.788713,0.7071068,0,0,0.7071068,13.96669
0.7925645,9.037222,-2.788075,0.7071068,0,0,0.7071068,14.00003
0.7925734,9.03682,-2.787387,0.7071068,0,0,0.7071068,14.03336
0.7925823,9.036345,-2.786053,0.7071068,0,0,0.7071068,14.06669
0.7923589,9.035636,-2.785205,0.7071068,0,0,0.7071068,14.10003
0.7919387,9.03566,-2.78433,0.7071068,0,0,0.7071068,14.13336
0.791698,9.035181,-2.783304,0.7071068,0,0,0.7071068,14.16669
0.7912862,9.034728,-2.782565,0.7071068,0,0,0.7071068,14.20003
0.7912142,9.03421,-2.781961,0.7071068,0,0,0.7071068,14.23336
0.7906582,9.033712,-2.780991,0.7071068,0,0,0.7071068,14.26669
0.7905709,9.033784,-2.779792,0.7071068,0,0,0.7071068,14.30003
0.7909579,9.033867,-2.778377,0.7071068,0,0,0.7071068,14.33336
0.7910963,9.033449,-2.77766,0.7071068,0,0,0.7071068,14.36669
0.7914613,9.03354,-2.776255,0.7071068,0,0,0.7071068,14.40003
0.7908912,9.033189,-2.775312,0.7071068,0,0,0.7071068,14.43336
0.7904163,9.033353,-2.774072,0.7071068,0,0,0.7071068,14.46669
0.7897749,9.032768,-2.77303,0.7071068,0,0,0.7071068,14.50003
0.7897153,9.032171,-2.771742,0.7071068,0,0,0.7071068,14.53336
0.7891337,9.032401,-2.771178,0.7071068,0,0,0.7071068,14.5667
0.7891729,9.031911,-2.770634,0.7071068,0,0,0.7071068,14.60003
0.788527,9.031936,-2.769277,0.7071068,0,0,0.7071068,14.63336
0.788721,9.031874,-2.767985,0.7071068,0,0,0.7071068,14.6667
0.7881369,9.031367,-2.767524,0.7071068,0,0,0.7071068,14.70003
0.7878942,9.031187,-2.766872,0.7071068,0,0,0.7071068,14.73336
0.7875826,9.030702,-2.765654,0.7071068,0,0,0.7071068,14.7667
0.7874118,9.030568,-2.764386,0.7071068,0,0,0.7071068,14.80003
0.7867318,9.030282,-2.763196,0.7071068,0,0,0.7071068,14.83336
0.7860972,9.030456,-2.762622,0.7071068,0,0,0.7071068,14.8667
0.7860777,9.030769,-2.76149,0.7071068,0,0,0.7071068,14.90003
0.7854167,9.030333,-2.760749,0.7071068,0,0,0.7071068,14.93336
0.7850355,9.030586,-2.75996,0.7071068,0,0,0.7071068,14.9667